index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
272371,415,7,01/03/2015,0,0,0,0,0,107.72088
558468,27,7,29/12/2013,0,0,0,0,0,-93.57546
76950,404,3,19/03/2014,657,1,1,0,0,6708.524
77556,683,2,29/01/2013,862,1,0,0,0,6338.166
456344,920,3,19/03/2014,591,1,1,0,0,6160.6733
436466,758,4,26/06/2014,569,1,0,0,0,4553.164
646251,563,1,16/02/2015,321,1,1,0,0,3665.1082
650464,930,6,22/11/2014,1367,1,0,0,0,7966.351
162710,756,4,04/06/2015,0,0,1,a,0,140.97815
100327,49,2,13/01/2015,546,1,1,0,0,7923.4404
374540,787,4,23/07/2015,968,1,0,0,1,7947.453
399143,782,4,19/09/2013,472,1,0,0,0,3982.0254
44740,897,7,20/04/2014,0,0,0,0,0,-24.581682
674144,933,1,09/12/2013,965,1,0,0,0,8202.2
81595,218,2,07/04/2015,804,1,0,0,1,5697.487
416724,554,3,09/10/2013,499,1,1,0,1,4806.9043
632687,362,1,12/08/2013,1337,1,1,0,1,12302.165
351899,655,3,09/04/2014,560,1,0,0,0,4877.342
515940,785,3,31/12/2014,461,1,0,0,1,4279.588
567411,690,3,19/03/2014,866,1,1,0,0,7969.021
274598,1103,7,15/02/2015,0,0,0,0,0,2.3591483
417880,431,1,02/06/2014,1367,1,1,0,0,13902.48
453710,127,2,24/09/2013,642,1,1,0,0,6573.5664
597622,579,5,29/03/2013,0,0,1,b,1,-111.7545
223346,248,6,03/08/2013,1139,1,0,0,0,8164.57
630018,962,6,11/01/2014,0,0,0,0,0,-71.2054
355860,224,2,26/03/2013,515,1,1,0,1,6669.646
360080,208,3,19/06/2013,355,1,1,0,1,3765.411
129544,401,1,30/03/2015,1063,1,1,0,0,10362.873
422545,503,7,29/09/2013,0,0,0,0,0,134.12492
174199,221,4,05/03/2015,562,1,1,0,0,5498.819
118613,268,7,02/11/2014,0,0,0,0,0,-108.8576
60310,799,2,27/08/2013,927,1,1,0,1,9529.521
328458,260,6,25/10/2014,894,1,0,0,0,7466.961
200661,1041,2,10/03/2015,594,1,0,0,0,4639.574
179581,350,2,18/06/2013,533,1,1,0,0,6909.9546
587612,286,7,05/04/2015,0,0,0,0,0,243.32277
320169,620,2,04/06/2013,709,1,1,0,0,7692.581
37194,521,1,17/06/2013,484,1,1,0,0,6037.897
685427,649,4,27/11/2014,435,1,1,0,0,4753.3145
125422,1059,2,02/06/2015,1239,1,1,0,0,10578.006
24499,486,6,28/06/2014,373,1,0,0,0,3482.838
281806,252,4,17/10/2013,642,1,0,0,0,6453.7236
540511,656,3,15/05/2013,421,1,1,0,0,4462.6855
28689,642,5,12/09/2014,394,1,0,0,0,3244.1792
165066,655,5,08/05/2015,761,1,1,0,0,7525.0347
555963,992,3,26/06/2013,627,1,0,0,0,5276.76
610614,143,2,02/06/2015,731,1,1,0,0,7759.139
64013,421,5,18/07/2014,941,1,1,0,1,7977.264
30639,246,4,02/10/2014,1157,1,1,0,0,9021.878
418604,960,1,28/04/2014,720,1,1,0,0,7668.168
468037,313,5,17/01/2014,697,1,0,0,0,6245.231
271589,291,6,29/06/2013,534,1,0,0,0,5113.9673
77924,924,6,31/05/2014,333,1,0,0,0,3176.8582
247149,337,2,13/08/2013,430,1,1,0,1,5330.803
576822,1024,4,12/03/2015,607,1,0,0,0,4815.149
108538,56,3,22/01/2014,402,1,1,0,0,5147.3433
645670,507,3,09/04/2014,532,1,0,0,0,4981.4365
601663,970,5,15/03/2013,406,1,0,0,0,3031.1238
502588,846,2,23/06/2015,828,1,0,0,0,6485.422
66732,549,3,27/08/2014,582,1,0,0,0,4598.95
627113,1095,4,28/03/2013,852,1,1,0,1,8136.26
691184,859,5,12/04/2013,709,1,1,0,0,6489.1675
467913,914,2,29/07/2014,1178,1,1,0,1,10346.23
304890,888,2,23/06/2015,634,1,0,0,0,5618.043
274018,442,2,04/11/2014,517,1,1,0,0,5629.141
644430,34,6,09/03/2013,905,1,0,0,0,8334.114
669009,199,4,10/07/2014,581,1,0,0,0,5539.373
518722,854,4,04/06/2015,657,1,1,a,0,6254.1484
505976,611,2,21/01/2014,485,1,1,0,0,6236.4287
291572,808,4,09/04/2015,528,1,0,0,1,5697.082
39071,1105,4,22/01/2015,410,1,0,0,0,4140.5913
319154,866,5,24/04/2015,445,1,0,0,0,5034.4673
166603,222,6,28/09/2013,367,1,0,0,0,3005.567
428262,476,2,24/09/2013,753,1,1,0,0,7477.6167
20314,800,1,26/05/2014,494,1,0,0,0,4890.3438
603091,330,1,24/03/2014,408,1,0,0,0,3706.3762
500421,507,3,07/01/2015,648,1,1,0,0,6862.153
388016,98,7,02/06/2013,0,0,0,0,0,59.87467
268257,1026,2,28/01/2014,1044,1,0,0,0,7198.35
216326,990,5,04/10/2013,719,1,0,0,0,5677.5776
40755,8,6,10/01/2015,345,1,0,0,0,3120.0415
8654,611,3,31/07/2013,566,1,1,0,1,6477.483
37301,257,2,13/08/2013,777,1,1,0,0,7905.713
485623,840,4,16/04/2015,1189,1,1,0,0,12615.883
214073,848,5,31/07/2015,998,1,1,0,1,8987.974
406145,124,6,12/07/2014,297,1,0,0,0,2711.749
397642,1028,2,31/12/2013,438,1,0,0,1,4008.8416
273960,95,2,24/09/2013,1099,1,1,0,0,9932.953
12104,208,1,28/10/2013,323,1,0,0,0,2615.6685
361202,249,2,08/07/2014,449,1,0,0,0,4554.08
79347,887,3,20/03/2013,614,1,1,0,0,6243.9873
462803,73,1,28/04/2014,601,1,1,0,1,7230.8115
141713,13,4,02/04/2015,501,1,1,0,1,6048.0312
703618,1049,2,03/09/2013,580,1,0,0,1,4915.766
308360,144,4,05/02/2015,769,1,1,0,0,7692.0776
317995,847,3,14/08/2013,1018,1,1,0,1,8745.592
364408,796,3,08/05/2013,717,1,0,0,0,6523.0625
27886,396,4,11/06/2015,1139,1,0,0,0,9110.997
706814,1080,7,15/09/2013,0,0,0,0,0,243.30779
514516,675,5,26/09/2014,338,1,0,0,0,3275.1973
577373,1099,1,01/12/2014,1236,1,1,0,0,12205.1875
190561,791,1,11/05/2015,858,1,0,0,0,7171.632
92512,1014,2,24/03/2015,1476,1,0,0,0,11789.78
565163,487,2,04/11/2014,737,1,1,0,0,7308.065
500246,427,3,13/02/2013,701,1,0,0,1,6140.0854
223708,254,5,14/11/2014,282,1,1,0,0,3228.1582
555732,43,5,31/01/2014,710,1,0,0,0,5991.264
654150,1074,2,09/06/2015,421,1,0,0,0,3903.4324
558350,549,6,29/06/2013,380,1,0,0,0,3670.8362
52167,1095,2,08/01/2013,720,1,1,0,0,6205.564
296981,295,1,28/10/2013,612,1,0,0,1,4999.298
332143,319,1,14/10/2013,863,1,0,0,1,7427.73
